N,P,K,ph,region,Crop
45,30,35,6.5,North,"Rice,Wheat"
60,45,50,6.8,North,"Wheat,Barley"
35,20,25,5.8,South,"Cotton,Groundnut"
80,55,65,7.2,East,"Rice,Wheat"
50,40,45,6.2,West,"Maize,Soybean"
70,50,55,6.8,Central,"Rice,Wheat,Barley"
40,25,30,5.5,South,"Groundnut,Cotton"
55,35,40,6.0,North,"Potato,Wheat"
65,48,52,6.5,East,"Rice,Mustard"
30,18,22,5.2,South,"Cotton,Millets"
75,60,70,7.0,Central,"Rice,Wheat"
45,32,38,6.3,West,"Maize,Soybean"
38,22,28,5.6,South,"Groundnut,Cotton"
58,42,48,6.6,North,"Wheat,Potato"
68,52,58,6.9,East,"Rice,Pulses"
42,28,33,6.1,Central,"Maize,Wheat"
52,38,44,6.4,West,"Soybean,Maize"
72,55,62,7.1,North,"Rice,Wheat"
48,30,35,5.9,South,"Cotton,Groundnut"
62,45,50,6.7,East,"Rice,Wheat"
36,24,26,5.7,South,"Millets,Groundnut"
78,58,68,7.3,Central,"Rice,Wheat,Barley"
54,40,46,6.3,West,"Maize,Soybean"
40,26,32,6.0,North,"Potato,Wheat"
66,50,56,6.8,East,"Rice,Pulses"
33,19,24,5.4,South,"Cotton,Millets"
70,52,60,6.9,Central,"Rice,Wheat"
47,34,40,6.4,West,"Maize,Soybean"
57,43,49,6.5,North,"Wheat,Potato"
73,56,65,7.0,East,"Rice,Wheat"
39,25,29,5.8,South,"Groundnut,Cotton"
64,46,52,6.6,Central,"Rice,Mustard"
51,37,42,6.2,West,"Maize,Soybean"
44,31,36,5.9,North,"Wheat,Barley"
69,51,57,6.7,East,"Rice,Pulses"
37,23,27,5.6,South,"Millets,Cotton"
76,57,66,7.1,Central,"Rice,Wheat"
53,39,45,6.4,West,"Soybean,Maize"
60,44,50,6.6,North,"Wheat,Potato"
71,53,61,6.9,East,"Rice,Wheat"
41,28,33,5.7,South,"Cotton,Groundnut"
67,49,55,6.8,Central,"Rice,Mustard"
49,36,41,6.3,West,"Maize,Soybean"
56,41,47,6.5,North,"Wheat,Barley"
74,54,63,7.0,East,"Rice,Wheat"
43,30,35,5.8,South,"Groundnut,Cotton"
63,47,53,6.7,Central,"Rice,Pulses"
48,33,38,6.1,West,"Maize,Soybean"
59,43,48,6.5,North,"Potato,Wheat"
